case,branch_id,from_bus,to_bus,length,length_unit,R_ohm,X_ohm,R1,X1,phases,enabled,is_switch,is_candidate_switch,is_normally_open,thermal_limit_A,source_file,data_status
ieee33,13,13,14,1.0,km,0.5416,0.7129,0.5416,0.7129,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,14,14,15,1.0,km,0.591,0.562,0.591,0.562,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,15,15,16,1.0,km,0.7463,0.545,0.7463,0.545,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,16,16,17,1.0,km,1.289,1.721,1.289,1.721,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,17,17,18,1.0,km,0.732,0.574,0.732,0.574,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,18,2,19,1.0,km,0.164,0.1565,0.164,0.1565,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,19,19,20,1.0,km,1.5042,1.3554,1.5042,1.3554,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,20,20,21,1.0,km,0.4095,0.4784,0.4095,0.4784,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,21,21,22,1.0,km,0.7089,0.9373,0.7089,0.9373,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,22,3,23,1.0,km,0.4512,0.3083,0.4512,0.3083,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,23,23,24,1.0,km,0.898,0.7091,0.898,0.7091,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,24,24,25,1.0,km,0.896,0.7011,0.896,0.7011,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,25,6,26,1.0,km,0.203,0.1034,0.203,0.1034,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,26,26,27,1.0,km,0.2842,0.1447,0.2842,0.1447,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,27,27,28,1.0,km,1.059,0.9337,1.059,0.9337,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,28,28,29,1.0,km,0.8042,0.7006,0.8042,0.7006,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,29,29,30,1.0,km,0.5075,0.2585,0.5075,0.2585,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,30,30,31,1.0,km,0.9744,1.1556,0.9744,1.1556,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,31,31,32,1.0,km,0.3105,0.3619,0.3105,0.3619,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,32,32,33,1.0,km,0.341,0.5302,0.341,0.5302,3,True,True,True,False,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,33,21,8,1.0,km,2.0,2.0,2.0,2.0,3,True,True,True,True,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,34,9,15,1.0,km,2.0,2.0,2.0,2.0,3,True,True,True,True,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,35,12,22,1.0,km,2.0,2.0,2.0,2.0,3,True,True,True,True,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,36,18,33,1.0,km,2.0,2.0,2.0,2.0,3,True,True,True,True,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
ieee33,37,25,29,1.0,km,0.5,2.0,0.5,2.0,3,True,True,True,True,NOT_AVAILABLE,data/ieee33/public_sanitized_source,CALCULATED
