case,switch_id,branch_id,from_bus,to_bus,base_status,is_tie_switch,is_sectionalizing_switch,included_in_optimization,source_file,data_status
real_system_anonymized,30,30,29,30,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,31,31,25,31,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,32,32,0,32,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,33,33,32,33,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,34,34,33,34,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,35,35,34,35,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,36,36,35,36,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,37,37,36,37,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,38,38,37,38,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,39,39,38,39,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,40,40,38,40,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,41,41,40,41,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,42,42,41,42,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,43,43,42,43,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,44,44,44,45,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,45,45,44,50,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,46,46,40,46,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,47,47,46,47,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,48,48,47,48,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,49,49,48,49,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,50,50,50,51,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,51,51,51,52,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,52,52,52,53,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,53,53,33,53,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,54,54,0,54,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,55,55,54,55,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,56,56,55,56,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,57,57,56,57,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,58,58,57,58,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,59,59,58,59,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,60,60,59,60,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,61,61,0,61,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,62,62,61,62,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,63,63,62,63,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,64,64,63,64,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,65,65,64,65,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,66,66,65,66,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,67,67,66,67,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,68,68,67,68,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,69,69,68,69,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,70,70,68,70,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,71,71,70,71,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,72,72,70,72,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,73,73,72,73,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,74,74,0,74,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,75,75,74,75,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,76,76,75,76,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,77,77,76,77,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,78,78,77,78,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,79,79,78,79,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,80,80,79,80,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,81,81,77,81,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,82,82,76,82,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,83,83,82,83,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,84,84,83,84,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,85,85,84,85,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,86,86,85,86,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,87,87,86,87,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,88,88,87,88,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,89,89,88,89,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,90,90,74,90,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,91,91,90,91,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,92,92,91,92,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,93,93,0,93,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,94,94,93,94,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,95,95,94,95,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,96,96,95,96,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,97,97,96,97,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,98,98,97,98,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,99,99,98,99,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,100,100,99,100,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,101,101,94,101,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,102,102,0,102,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,103,103,102,103,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,104,104,103,104,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,105,105,104,105,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,106,106,105,106,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,107,107,106,107,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,108,108,104,108,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,109,109,108,109,closed,False,True,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,110,110,6,106,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,111,111,7,104,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,112,112,9,19,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,113,113,11,22,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,114,114,28,31,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,115,115,15,18,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,116,116,16,34,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,117,117,11,49,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,118,118,23,43,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,119,119,45,67,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,120,120,41,51,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,121,121,24,65,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,122,122,30,64,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,123,123,27,92,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,124,124,26,62,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,125,125,29,74,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,126,126,10,61,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,127,127,89,90,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,128,128,86,95,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,129,129,80,100,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,130,130,43,44,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,131,131,105,109,open,True,False,True,data/real_system_anonymized/public_sanitized_source,SOURCE
