case,load_id,bus,phase,kV,P_kW,Q_kVAr,connected_users,load_type,feeder,source_file,data_status
real_system_anonymized,Load30,30,3,13.2,90.45,43.81,221,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load32,32,3,13.2,192.15,93.06,757,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load33,33,3,13.2,38.34,18.57,151,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load34,34,3,13.2,18.27,8.85,72,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load35,35,3,13.2,136.89,66.3,539,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load36,36,3,13.2,831.42,402.68,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load37,37,3,13.2,199.89,96.81,787,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load38,38,3,13.2,647.01,313.36,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load39,39,3,13.2,709.11,343.44,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load40,40,3,13.2,5.49,2.66,22,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load41,41,3,13.2,87.57,42.41,345,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load42,42,3,13.2,175.23,84.87,690,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load43,43,3,13.2,139.59,67.61,550,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load44,44,3,13.2,65.7,31.82,259,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load45,45,3,13.2,68.49,33.17,269,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load46,46,3,13.2,232.74,112.72,916,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load47,47,3,13.2,139.59,67.61,550,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load48,48,3,13.2,162.45,78.68,639,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load49,49,3,13.2,43.83,21.23,172,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load50,50,3,13.2,309.33,149.82,1218,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load51,51,3,13.2,929.09,449.97,3,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load52,52,3,13.2,235.08,113.85,925,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load53,53,3,13.2,268.29,129.94,1054,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load54,54,3,13.2,272.79,132.12,816,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load55,55,3,13.2,52.65,25.5,157,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load56,56,3,13.2,286.83,138.92,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load57,57,3,13.2,25.02,12.12,75,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load58,58,3,13.2,30.69,14.86,92,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load59,59,3,13.2,46.08,22.32,138,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load60,60,3,13.2,413.01,200.03,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load61,61,3,13.2,100.98,48.91,410,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load62,62,3,13.2,42.93,20.79,174,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load63,63,3,13.2,64.44,31.21,262,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load64,64,3,13.2,234.09,113.37,951,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load65,65,3,13.2,53.73,26.02,218,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load66,66,3,13.2,92.14,141.49,1187,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load67,67,3,13.2,42.93,20.79,174,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load68,68,3,13.2,109.53,53.05,445,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load69,69,3,13.2,341.55,165.42,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load70,70,3,13.2,167.49,81.12,681,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load71,71,3,13.2,143.91,69.7,585,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load72,72,3,13.2,154.62,74.89,628,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load73,73,3,13.2,214.83,104.05,872,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load74,74,3,13.2,87.39,42.32,425,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load75,75,3,13.2,74.79,36.22,364,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load76,76,3,13.2,116.64,56.49,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load77,77,3,13.2,66.42,32.17,323,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load78,78,3,13.2,28.71,13.9,140,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load79,79,3,13.2,108.27,52.44,526,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load80,80,3,13.2,239.31,115.9,1163,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load81,81,3,13.2,561.78,272.08,2,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load82,82,3,13.2,37.71,18.26,183,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load83,83,3,13.2,289.53,140.23,1408,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load84,84,3,13.2,32.31,15.65,157,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load85,85,3,13.2,25.11,12.16,122,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load86,86,3,13.2,75.42,36.53,366,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load87,87,3,13.2,86.13,41.71,419,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load88,88,3,13.2,311.13,150.69,1505,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load89,89,3,13.2,64.62,31.3,314,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load90,90,3,13.2,26.91,13.03,131,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load91,91,3,13.2,71.19,34.48,346,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load92,92,3,13.2,3.6,1.74,17,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load93,93,3,13.2,199.35,96.55,709,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load94,94,3,13.2,11.7,5.67,42,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load95,95,3,13.2,240.84,116.64,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load96,96,3,13.2,11.7,5.67,42,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load97,97,3,13.2,10.17,4.93,36,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load98,98,3,13.2,45.63,22.1,162,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load99,99,3,13.2,14.31,6.93,51,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load100,100,3,13.2,19.53,9.46,70,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load101,101,3,13.2,119.25,57.76,424,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load102,102,3,13.2,116.91,56.62,459,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load103,103,3,13.2,118.53,57.41,465,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load104,104,3,13.2,94.59,45.81,371,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load105,105,3,13.2,33.39,16.17,131,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load106,106,3,13.2,71.21,34.52,279,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load107,107,3,13.2,9.99,4.84,39,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load108,108,3,13.2,279.99,135.61,1,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
real_system_anonymized,Load109,109,3,13.2,41.76,20.23,164,constant_power_model_1,NOT_AVAILABLE,data/real_system_anonymized/public_sanitized_source,SOURCE
